"#104e8b","#104e8b","dodgerblue4","poederblauw4"
"#0000cd","#0000cd","mediumblue","middenblauw"
"#0000ff","#0000ff","blue","blauw"
"#0000ee","#0000ee","blue2","blauw1"
"#0000cd","#0000cd","blue3","blauw2"
"#00008b","#00008b","blue4/darkblue","blauw3/donkerblauw"
"#000080","#000080","navyblue","marineblauw"
"#191970","#191970","midnightblue","nachtblauw"
"#4876ff","#4876ff","royalblue1","koningsblauw1"
"#436eee","#436eee","royalblue2","koningsblauw2"
"#3a5fcd","#3a5fcd","royalblue3","koningsblauw3"
"#27408b","#27408b","royalblue4","koningsblauw4"
"#4169e1","#4169e1","royalblue","koningsblauw"
"#6495ed","#6495ed","cornflowerblue","korenbloemblauw"
"#b0c4de","#b0c4de","lightsteelblue","lichtstaalblauw"
"#cae1ff","#cae1ff","lightsteelblue1","lichtstaalblauw1"
"#bcd2ee","#bcd2ee","lightsteelblue2","lichtstaalblauw2"
"#a2b5cd","#a2b5cd","lightsteelblue3","lichtstaalblauw3"
"#6e7b8b","#6e7b8b","lightsteelblue4","lichtstaalblauw4"
"#778899","#778899","lightslategray","lichtleigrijs"
"#c6e2ff","#c6e2ff","slategray1","leigrijs1"
"#b9d3ee","#b9d3ee","slategray2","leigrijs2"
"#9fb6cd","#9fb6cd","slategray3","leigrijs3"
"#6c7b8b","#6c7b8b","slategray4","leigrijs4"
"#708090","#708090","slategrey","leigrijs"
"#2f4f4f","#2f4f4f","darkslategray","donkerleigrijs"
"#8470ff","#8470ff","lightslateblue","lichtleiblauw"
"#7b68ee","#7b68ee","mediumslateblue","middenleiblauw"
"#6a5acd","#6a5acd","slateblue","leiblauw"
"#836fff","#836fff","slateblue1","leiblauw1"
"#7a67ee","#7a67ee","slateblue2","leiblauw2"
"#6959cd","#6959cd","slateblue3","leiblauw3"
"#473c8b","#473c8b","slateblue4","leiblauw4"
"#483d8b","#483d8b","darkslateblue","donkerleiblauw"
"#8a2be2","#8a2be2","blueviolet","blauwpaars"
"#a020f0","#a020f0","purple","paars"
"#9b30ff","#9b30ff","purple1","paars1"
"#912cee","#912cee","purple2","paars2"
"#7d26cd","#7d26cd","purple3","paars3"
